r,φ,J_t_ABSsch,J_r_ABSsch,J_φ_ABSsch,J_t_SCATTsch,J_r_SCATTsch,J_φ_SCATTsch
9.5,-1.5707963267948966,-0.10101341955073895,-0.0891621479580417,-0.12971316577511371,-0.6904086946351473,-1.73160701392366e-17,-4.9189248139947095
9.5,-1.0471975511965979,-0.19262105834106755,-0.1839457183511831,-0.25929856615126956,-0.6016938573315158,-0.12108351334531486,-3.9383205289499017
9.5,-0.5235987755982991,-0.32741410758708134,-0.3302570837098012,-0.3041997799236985,-0.42887265290864984,-0.13576502387282172,-1.9332153175033804
9.5,0.0,-0.3990633366241859,-0.4102004589034285,0.0,-0.3427994566654191,-0.11332826473354642,0.0
9.5,0.5235987755982987,-0.3274141075870815,-0.33025708370980134,0.3041997799236984,-0.4288726529086497,-0.1357650238728217,1.9332153175033786
9.5,1.0471975511965974,-0.19262105834106766,-0.18394571835118323,0.25929856615126967,-0.6016938573315158,-0.12108351334531496,3.938320528949901
9.5,1.5707963267948966,-0.10101341955073895,-0.0891621479580417,0.12971316577511371,-0.6904086946351473,-1.73160701392366e-17,4.9189248139947095
9.5,2.094395102393195,-0.058636965609626925,-0.04790703406309804,0.05650035167719643,-0.6016938573315163,0.12108351334531484,3.9383205289499044
9.5,2.617993877991494,-0.04154537440680865,-0.03218492061649002,0.021303136650882435,-0.42887265290864995,0.13576502387282174,1.9332153175033808
9.5,3.141592653589793,-0.03696744691972538,-0.028112519026027925,4.524993606657592e-18,-0.3427994566654191,0.11332826473354642,4.329429992321893e-16
9.0,-3.141592653589793,-0.039284316441611594,-0.030424347454780547,-5.122997798139548e-18,-0.32733304902848803,0.1014867188641643,-4.038868835313965e-16
9.0,-2.6179938779914944,-0.04421721748790518,-0.03488279155794735,-0.024130517702786614,-0.4140594907998598,0.1245027811613606,-1.818169254688599
9.0,-2.0943951023931957,-0.0626416939954087,-0.05209880017690159,-0.06405424415026631,-0.5924579504281287,0.11482981037141057,-3.75517432306591
9.0,-1.5707963267948966,-0.10821699803753637,-0.09714144177835071,-0.14681332234727168,-0.6852888540553566,-1.6630821839682545e-17,-4.714465234915964
9.0,-1.0471975511965979,-0.20545045333117767,-0.1991925535101852,-0.29033186591815235,-0.5924579504281287,-0.11482981037141052,-3.75517432306591
9.0,-0.5235987755982991,-0.344203344295889,-0.3520183870069649,-0.33317669317053306,-0.4140594907998598,-0.12450278116136063,-1.8181692546886001
9.0,0.0,-0.4156832083011813,-0.4330796691451056,0.0,-0.32733304902848803,-0.1014867188641643,0.0
9.0,0.5235987755982987,-0.34420334429588906,-0.3520183870069651,0.3331766931705329,-0.41405949079985976,-0.1245027811613606,1.8181692546885986
9.0,1.0471975511965974,-0.20545045333117784,-0.19919255351018533,0.29033186591815247,-0.5924579504281287,-0.11482981037141057,3.7551743230659085
9.0,1.5707963267948966,-0.10821699803753637,-0.09714144177835071,0.14681332234727168,-0.6852888540553566,-1.6630821839682545e-17,4.714465234915964
9.0,2.094395102393195,-0.06264169399540875,-0.05209880017690164,0.06405424415026638,-0.5924579504281289,0.11482981037141049,3.755174323065912
9.0,2.617993877991494,-0.04421721748790519,-0.03488279155794736,0.024130517702786645,-0.41405949079985993,0.12450278116136063,1.818169254688601
9.0,3.141592653589793,-0.039284316441611594,-0.030424347454780547,5.122997798139548e-18,-0.32733304902848803,0.1014867188641643,4.038868835313965e-16
8.5,-3.141592653589793,-0.04197810919358013,-0.03315829418157026,-5.860046023712221e-18,-0.3109800850280913,0.08881608642424002,-3.743234051122499e-16
8.5,-2.6179938779914944,-0.04733404912557596,-0.03808365392795384,-0.02761668408871642,-0.39789076299715337,0.11197508097166364,-1.7002531776856913
8.5,-2.0943951023931957,-0.0673454067918357,-0.05710549130423691,-0.07336671654669234,-0.5816154793702669,0.1073777912581589,-3.5663356522771683
8.5,-1.5707963267948966,-0.11668819595673036,-0.10668439595194408,-0.1677509022854456,-0.6787383701166588,-1.5785522690570677e-17,-4.503448209458561
8.5,-1.0471975511965979,-0.220240326875423,-0.21711027848761466,-0.32729806427017927,-0.581615479370267,-0.10737779125815883,-3.5663356522771683
8.5,-0.5235987755982991,-0.36268137016714047,-0.3766708294878766,-0.36592126776366163,-0.39789076299715354,-0.11197508097166366,-1.7002531776856926
8.5,0.0,-0.43343545419029245,-0.4584869572177385,0.0,-0.3109800850280913,-0.08881608642424002,0.0
8.5,0.5235987755982987,-0.3626813701671405,-0.3766708294878767,0.3659212677636615,-0.3978907629971533,-0.11197508097166363,1.7002531776856913
8.5,1.0471975511965974,-0.22024032687542316,-0.21711027848761486,0.3272980642701795,-0.5816154793702668,-0.1073777912581589,3.566335652277167
8.5,1.5707963267948966,-0.11668819595673036,-0.10668439595194408,0.1677509022854456,-0.6787383701166588,-1.5785522690570677e-17,4.503448209458561
8.5,2.094395102393195,-0.06734540679183577,-0.05710549130423697,0.07336671654669247,-0.5816154793702671,0.1073777912581588,3.5663356522771705
8.5,2.617993877991494,-0.04733404912557596,-0.038083653927953855,0.027616684088716446,-0.39789076299715354,0.1119750809716637,1.7002531776856933
