r,φ,x,y,timestamp,J_t_ABS_Schw,J_r_ABS_Schw,J_φ_ABS_Schw,J_t_SCATT_Schw,J_r_SCATT_Schw,J_φ_SCATT_Schw,J_X_TOTAL_Schw,J_Y_TOTAL_Schw,n
11,1.8188167994467221,-2.7003403585487877,10.663402925332635,2024-09-10T12:51:31.174,-2.3326329894316795,-2.455703473589448,1.7586401154737985,-24.15348485755817,2.513307926474093,180.575956676183,-16.08279620442993,-4.01329434769261,1.055644923648101
12,1.8188167994467221,-2.945825845689587,11.632803191271966,2024-09-10T12:51:32.651,-2.113299840658842,-2.1888895907921238,1.4490401089753107,-24.37358136975195,2.6060006078193023,193.62161983729408,-15.860857170279564,-3.5862371344832176,1.0509442859346687
13,1.8188167994467221,-3.1913113328303857,12.602203457211296,2024-09-10T12:51:34.125,-1.9337979418226345,-1.9751142164867623,1.2161705519452286,-24.54875781028576,2.677945994188845,206.55075805676438,-15.665559297225768,-3.242041278650886,1.0468670224984251
14,1.8188167994467221,-3.4367968199711845,13.571603723150627,2024-09-10T12:51:35.591,-1.783855439499777,-1.7999049200268975,1.0362652625269504,-24.692160168204634,2.7352729288924778,219.40820605253674,-15.49382849400356,-2.958676748331299,1.0433228842231714
15,1.8188167994467221,-3.6822823071119837,14.541003989089957,2024-09-10T12:51:37.048,-1.656514149670088,-1.653625828270186,0.8941862581523627,-24.81220143512701,2.7819608774822746,232.22063232678352,-15.342427687922909,-2.7212786898959305,1.0402283502383876
16,1.8188167994467221,-3.9277677942527824,15.510404255029288,2024-09-10T12:51:38.347,-1.5468796777231013,-1.529612649664847,0.7798940091588324,-24.914511228388662,2.8206891606848696,245.00446218963776,-15.208404312671329,-2.519460862684743,1.0375117584374953
17,1.8188167994467221,-4.173253281393581,16.479804520968617,2024-09-10T12:51:39.803,-1.451400820677525,-1.423108288743331,0.6865028176654124,-25.003000962736984,2.853319453977826,257.77009343669,-15.08920744594982,-2.345749588793059,1.0351134191377909
18,1.8188167994467221,-4.41873876853438,17.44920478690795,2024-09-10T12:51:41.282,-1.3674331775690312,-1.3306253048070347,0.6091542054802974,-25.080477575021483,2.8811813942511897,270.52426772427145,-14.982684090497555,-2.194630523571037,1.0329841952171017
19,1.8188167994467221,-4.664224255675179,18.41860505284728,2024-09-10T12:51:42.770,-1.2929637124934035,-1.2495481296099986,0.5443356078983405,-25.149010813936602,2.905247636406208,283.2714215017997,-14.88703285366432,-2.0619460047597618,1.0310837210257184
20,1.8188167994467221,-4.909709742815978,19.38800531878661,2024-09-10T12:51:44.259,-1.226430747912307,-1.1778761209616544,0.48945365477322333,-25.210164145228088,2.9262449845339473,296.01452020084054,-14.800750737560865,-1.9445018817493762,1.0293788034305753
